pool_hash,operator_group,source,generated_at
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,https://www.balanceanalytics.io/api/groupdata.json,2026-05-18T17:17:32+00:00
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,https://www.balanceanalytics.io/api/groupdata.json,2026-05-18T17:17:32+00:00
pool102vsulhfx8ua2j9fwl2u7gv57fhhutc3tp6juzaefgrn7ae35wm,BINANCE,https://www.balanceanalytics.io/api/groupdata.json,2026-05-18T17:17:32+00:00
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,https://www.balanceanalytics.io/api/groupdata.json,2026-05-18T17:17:32+00:00
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,https://www.balanceanalytics.io/api/groupdata.json,2026-05-18T17:17:32+00:00
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,https://www.balanceanalytics.io/api/groupdata.json,2026-05-18T17:17:32+00:00
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BINANCE,https://www.balanceanalytics.io/api/groupdata.json,2026-05-18T17:17:32+00:00
pool1046enzdm6k4897m6zfgsph7sq9xs3ardvnlh5t80puz77vq6355,pool1046enzdm6k4897m6zfgsph7sq9xs3ardvnlh5t80puz77vq6355,https://www.balanceanalytics.io/api/groupdata.json,2026-05-18T17:17:32+00:00
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,ADALITE,https://www.balanceanalytics.io/api/groupdata.json,2026-05-18T17:17:32+00:00
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,https://www.balanceanalytics.io/api/groupdata.json,2026-05-18T17:17:32+00:00
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,https://www.balanceanalytics.io/api/groupdata.json,2026-05-18T17:17:32+00:00
