pool_hash,pool_id,operator_group,source,source_detail
20d72d4a07d2e1951d9d1ef27b6bab3c810444d667b13387eae89d77,,0FEE,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=0FEE8; name=0 fee club
3255c0e0a0f673b09de6bd68dda3bb31a7cfc7959e316930642c107e,,0FEE,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=0FEE9; name=0 fee club
4ccf05ec7a62460384a951c590e58c7294a9031309d03834e3496f35,,0FEE,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=0FEE5; name=0 fee club
53228453540d4190af4cae49be60cc6e8219682ecc2bbbced7d8f20b,,0FEE,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=0FEE6; name=0 fee club
96b0dac2d1da7a46ef457c75121686cb083f592227cd414e0ec138b8,,0FEE,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=0FEE0; name=0 fee club
9f993ee3ed3cbb87e8096735bae69297cf34706e20720602a1804810,,0FEE,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=0FEE2; name=0 fee club
a5badbd63e2af0474baaa92cac4f2b847f0b333681ad53254253e7c6,,0FEE,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=0FEE1; name=0 fee club
af55538be1b01342af8b400d7f83844bfed9faf3e38fb5b9f6ff57c4,,0FEE,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=0FEE7; name=0 fee club
d01379b3dc768ece2a25f2c20b6b434d79dcd9bb16b1645e9a62d500,,0FEE,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=0FEE4; name=0 fee club
d51eb01bbfc128e557b51ea104983dc3825cd73e11fa1c33b950c66f,,0FEE,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=0FEE3; name=0 fee club
5606dd286691c8323217da1d630bbee6e3cbf48173659cfca7fcec9a,,0PCT,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=0PCT1; name=0 Percent Pool
657adbe7f383bbe0b98a9ca74b9ebd5b9e7dff1e2ffeacbbeab20d76,,0PCT,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=0PCT2; name=0 Percent Pools
f0e708ba4407cb2414d6138b739d2fb416dd1621deb8371b6ccc8088,,0PCT,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=0PCT; name=0 Percent Pool
03646a1b39e69473a57bbeda37e35be8adcefb6ff608dd8fc726d371,pool1qdjx5xeeu6288ftmhmdr0c6mazkua7m07cydmr78ymfhz7jj7g4,1PCT,pool_groups_current_HEAD,pool_clusters.json group; ticker=1PCT; balanceanalytics_group=1PCT; adastat_group=1percentpool.eu
16d7b39329f79540967e35631dd1f6630a608a5c94e642ee8b2e9e8a,pool1zmtm8yef7725p9n7x433m50kvv9xpzjujnny9m5t960g5qm30ua,1PCT,pool_groups_current_HEAD,pool_clusters.json group; ticker=1PCT1; balanceanalytics_group=1PCT; adastat_group=1percentpool.eu
